# GENERATED FILE - DO NOT EDIT. Source: docs/reference/feature-status.jsonl
id,area,feature,user_story,expected_behaviour,implementation_status,verification_status,code_evidence,test_evidence,external_evidence_remaining,known_defects,backlog_references,compatibility_notes,last_verified_commit,last_verified_date
US-011,Drafting,Private draft lane,"As a user with an everyday moment, I want a private on-device draft where available.","FoundationModelsPrivateDraftClient checks model availability, builds testable standing instructions and prompt components, uses typed generation, and returns a private MomentDraftBundle.",Partial,Partial,prosepal-ios/Sources/ProsePalAPI/FoundationModelsPrivateDraftClient.swift,prosepal-ios/Tests/ProsePalAPITests/PrivateDraftPromptPlanTests.swift; prosepal-ios/Tests/ProsePalAPITests/MessageWritingServiceTests.swift,Writing quality and latency remain unmeasured on an Apple Intelligence-capable physical device.,,docs/BACKLOG.md,No template fallback exists in the production service; physical-device output and latency remain release evidence.,c181378,2026-07-15
US-012,Drafting,Private draft unavailable state,"As a user, I want an honest unavailable state if private drafting cannot run on my device.",FoundationModelsPrivateDraftClient maps availability and generation failures to user-safe GenerationError messages; RoutingMessageWritingService enforces per-lane and total technical deadlines and MomentModel exposes draftUnavailableReason.,Implemented,Partial,prosepal-ios/Sources/ProsePalAPI/FoundationModelsPrivateDraftClient.swift; prosepal-ios/Sources/ProsePalAPI/MessageWritingService.swift; prosepal-ios/Sources/ProsePalUI/MomentDraftUnavailableNotice.swift; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift,prosepal-ios/Tests/ProsePalAPITests/MessageWritingServiceTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentGenerationLifecycleTests.swift; prosepal-ios/evidence/feature-status/us-012-timeout-recovery.jpg,The end-to-end release UX deadline remains to be approved and measured.,,docs/product/user-journeys.md,Provider/model names stay hidden; the measured release UX deadline remains open separately.; Bounded service deadlines cover draft and named adjustments while cancelling the losing operation before fallback.,c181378,2026-07-15
US-013,Drafting,Automatic careful lane,"As a user with a sensitive moment, I want the app to apply calmer treatment without making me select a writing mode.",RoutingMessageWritingService sends occasions that require careful treatment to carefulClient; GatewayCarefulMomentClient uses the provider-neutral gateway contract and records the careful product lane.,Partial,Partial,prosepal-ios/Sources/ProsePalAPI/MessageWritingService.swift; prosepal-ios/Sources/ProsePalAPI/GatewayCarefulMomentClient.swift,prosepal-ios/Tests/ProsePalAPITests/MessageWritingServiceTests.swift,Guarded staging quality and reliability evidence remain open.,,docs/BACKLOG.md,Careful routing is automatic and independent of Premium billing; PCC remains an optional post-v1 experiment.,c181378,2026-07-15
US-014,Drafting,Lane fallback behavior,"As a user, I want drafting to recover gracefully when the preferred lane is unavailable.",Careful failures may fall back to private except contentBlocked; private timedOut/rateLimited/requestNeedsFreshKey/serviceUnavailable/unexpectedResponse may route to careful; offline and usage-limit errors do not silently bypass the private lane.,Implemented,Verified,prosepal-ios/Sources/ProsePalAPI/MessageWritingService.swift,prosepal-ios/Tests/ProsePalAPITests/MessageWritingServiceTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentGenerationLifecycleTests.swift,,,docs/engineering/ai-generation.md,Fallback preserves the typed user-safe error policy and respects the total technical deadline.,c181378,2026-07-15
US-015,Drafting,Draft card display,"As a user, I want the generated message to read like correspondence, not a chat bubble.",MomentSheetView renders selectable draft text on a paper-like content surface with metadata and actions nearby.,Implemented,Partial,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift,prosepal-ios/AppUITests/ProsePalNativeUITests.swift; prosepal-ios/evidence/feature-status/us-015-draft-card-action-rail.jpg,VoiceOver and physical-device presentation evidence remain open.,,docs/BACKLOG.md,Dynamic Type automation exists; broader accessibility and physical-device release evidence remain separate.,c181378,2026-07-15
US-016,Drafting,Adjust draft,"As a user, I want to make a draft warmer, shorter, or more direct without starting over.","MomentAdjustment supports warmer, shorter, and moreDirect; MomentModel.adjust calls the service with current-draft context and stores an undo snapshot.",Implemented,Partial,prosepal-ios/Sources/ProsePalDomain/MomentModels.swift; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalAPI/MessageWritingService.swift,prosepal-ios/Tests/ProsePalAPITests/MessageWritingServiceTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift,Direct adjustment-chip interaction remains unproved by UI automation.,,docs/product/capabilities.md,Warmer Shorter and Direct share the same behavioral plumbing; none currently has direct chip-interaction automation.,c181378,2026-07-15
US-017,Drafting,Take more care rewrite,"As a user, I want a more careful rewrite that preserves the current draft as context.","The dedicated action, result controls, model entry point, refinement protocol, gateway call, diagnostics trigger, and prompt vocabulary are removed; sensitive treatment is automatic and post-draft rewrites use named adjustments or Another.",Removed,Verified,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalAPI/MessageWritingService.swift; prosepal-ios/Sources/ProsePalAPI/GatewayCarefulMomentClient.swift,prosepal-ios/Tests/ProsePalUITests/NativeGuardrailTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentGenerationLifecycleTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift; prosepal-ios/Tests/ProsePalAPITests/MessageWritingServiceTests.swift,,,docs/BACKLOG.md,The historical row remains solely to record the removal.; Removed because the action duplicated occasion-aware care and created a third generation pathway.,c181378,2026-07-15
US-018,Drafting,Draft edit undo keep history and restart recovery,"As a user, I want to edit, undo, keep, restore, or recover a draft after restart so I can preserve my words and recover if an edit or rewrite lost what I meant.","MomentModel stores recoverable draft snapshots before user edits, named draft adjustments, and manual rewrites; restorePreviousDraft pops the latest snapshot; restoreDraftSnapshot(id:) restores a selected history row while preserving earlier snapshots; keepCurrentDraftChange clears the decision; updateActiveDraftMessage edits the active bundle and refreshes local pressure checks; MomentDraftRecoveryStore persists the active draft bundle plus moment fields and snapshot stack locally for the app root; Start over and moment changes clear recovery; MomentDraftHistorySheet lists current-session snapshots with Restore actions. Legacy manual-care lane values decode as the current careful lane and are re-encoded in normalized form.",Implemented,Verified,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalDomain/MomentModels.swift,prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift,,,docs/BACKLOG.md,"Implemented covers local active draft recovery; saved-draft library remains opt-in via Save.; Added inline active-draft editing, Undo edit / Keep edits controls, recoverable snapshot history, a current-session Draft history sheet, local active-draft recovery across app relaunch, pressure-check refresh when users edit wording, and backward-compatible lane normalization.",c181378,2026-07-15
US-019,Safety,Pressure Check,"As a user, I want the app to flag wording that may pressure the recipient.","PressureCheck.local inspects generated text and trueThing for reassurance, conditional apology, and heaviness phrases; draft bundles merge local pressure notes; the draft pressure card lets the user keep the current draft or use the named Direct adjustment while preserving current-draft context and undo.",Partial,Partial,prosepal-ios/Sources/ProsePalDomain/MomentModels.swift; prosepal-ios/Sources/ProsePalAPI/MessageWritingService.swift; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift,prosepal-ios/Tests/ProsePalAPITests/MessageWritingServiceTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift; prosepal-ios/evidence/feature-status/us-019-pressure-check-controls.jpg; prosepal-ios/evidence/feature-status/us-019-pressure-check-clean-up-fixed.jpg; prosepal-ios/evidence/feature-status/us-019-pressure-check-keep-draft.jpg,"Broader examples, human safety and accessibility review, and physical-device evidence remain open.",Pressure Check remains limited by local phrase lists and needs broader copy review.,docs/BACKLOG.md,"Needs broader examples and safety copy review before this can be marked Implemented. Physical-device and human safety/accessibility evidence remain separate release work.; Pressure Check offers Keep draft and Make direct. Make direct uses the normal named-adjustment lifecycle, keeps the current draft as rewrite context, acknowledges the rewritten finding, and preserves undo.",c181378,2026-07-15
US-020,Draft Actions,Copy active draft,"As a user, I want to copy the draft for use in another app.",Active and saved-draft actions copy the currently visible reviewed text and show acknowledgement only after the copy action runs.,Implemented,Verified,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalUI/Features/SavedDrafts/SavedMomentDraftDetailView.swift,prosepal-ios/Tests/ProsePalUITests/MomentSharingTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift,,,docs/product/capabilities.md,Copy does not claim an external paste succeeded; it acknowledges only the local pasteboard action.,c181378,2026-07-15
US-021,Draft Actions,Share active draft,"As a user, I want to share the draft using system sharing.",Active and saved-draft surfaces expose one destination-neutral SwiftUI ShareLink for the reviewed plain text; opening or cancelling the chooser never records a destination or successful send.,Implemented,Partial,prosepal-ios/Sources/ProsePalUI/Support/MomentSharing.swift; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalUI/Features/SavedDrafts/SavedMomentDraftDetailView.swift,prosepal-ios/Tests/ProsePalUITests/MomentSharingTests.swift; prosepal-ios/Tests/ProsePalUITests/NativeGuardrailTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift,Physical-device ShareLink destination presentation remains unproved.,,docs/BACKLOG.md,The system owns destination selection; physical-device ShareLink evidence remains a release gate.; Replaced destination claims and destination telemetry with direct ShareLink and a shared truthful presentation policy.,c181378,2026-07-15
US-022,Draft Actions,Save active draft,"As a user, I want saved messages to appear only when I deliberately tap Save.",MomentSheetView inserts SavedMomentDraftRecord only from the explicit Save action; generation and recovery do not add a saved-library record.,Implemented,Verified,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalAPI/RelationshipVault.swift,prosepal-ios/Tests/ProsePalAPITests/RelationshipVaultTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift; prosepal-ios/evidence/feature-status/us-022-saved-active-draft.jpg,,,docs/product/user-journeys.md,Generated and recovered drafts remain unsaved until the user chooses Save.,c181378,2026-07-15
US-023,Draft Actions,Start new moment,"As a user, I want to start over without stale draft state or stale keyboard focus.","MomentModel.startNewMoment cancels active generation and resets person, committed-person state, relationship, occasion, compatibility register, trueThing, draft, errors, snapshots, and recovery.",Implemented,Verified,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift,prosepal-ios/Tests/ProsePalUITests/MomentModelTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentGenerationLifecycleTests.swift,,,docs/product/capabilities.md,The reset cannot allow a late generation result to repopulate the cleared Moment.,c181378,2026-07-15
US-024,Relationship Memory,Add Truth Bead,"As a user, I want to save a relationship detail for future drafts only when I choose it.",MomentMemorySection creates approved RelationshipTruthBeadRecord memory only after the current person is committed and the user submits the detail.,Implemented,Verified,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalAPI/RelationshipVault.swift,prosepal-ios/Tests/ProsePalAPITests/RelationshipVaultTests.swift; prosepal-ios/evidence/feature-status/us-024-us-026-memory-created.jpg,,,docs/product/capabilities.md,No Contacts or Calendar inference occurs; creation is explicitly user-triggered.; Relationship memory now appears after person commit while draft-result UI remains state-gated.,c181378,2026-07-15
US-025,Relationship Memory,"Edit, pause, delete, and explain Truth Beads","As a user, I want relationship details to stay correct, pausable, deletable, and explainable.",RelationshipMemoryDetailView edits person/text/approved state saves with rollback deletes only after confirmation and displays explanatory copy.,Implemented,Verified,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift; prosepal-ios/Sources/ProsePalAPI/RelationshipVault.swift,prosepal-ios/Tests/ProsePalAPITests/RelationshipVaultTests.swift; prosepal-ios/Tests/ProsePalUITests/SystemSurfaceProjectTests.swift; prosepal-ios/evidence/feature-status/us-025-us-027-memory-edited-paused.jpg,,,docs/engineering/relationship-vault.md,The retained simulator pass did not tap Delete; deletion integrity is behavioral rather than direct UI proof.,c181378,2026-07-15
US-026,Relationship Memory,Voice Card,"As a user, I want to save style guidance for a person without treating it as a fact to quote.","RelationshipVoiceCardRecord and UI support create, edit, approval toggle, delete, and explain style-only use; approved voice cards are fetched only for the current person and the private-draft prompt labels them as style guidance rather than facts to quote.",Implemented,Verified,prosepal-ios/Sources/ProsePalAPI/RelationshipVault.swift; prosepal-ios/Sources/ProsePalAPI/FoundationModelsPrivateDraftClient.swift; prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift,prosepal-ios/Tests/ProsePalAPITests/RelationshipVaultTests.swift; prosepal-ios/Tests/ProsePalAPITests/PrivateDraftPromptPlanTests.swift; prosepal-ios/evidence/feature-status/us-024-us-026-memory-created.jpg; prosepal-ios/evidence/feature-status/us-027-memory-vault-populated.jpg,,,docs/product/capabilities.md,Voice Card means user-approved writing-style guidance; spoken input is the separate removed/deferred feature in US-049.; Relationship memory is available after the person is committed; prompt construction is now tested through a pure plan rather than source-string assertions.,c181378,2026-07-15
US-027,Relationship Memory,Memory vault list and search,"As a user, I want to review saved relationship memory in one place.","RelationshipMemoryVaultView combines Truth Beads and Voice Cards, sorts by updatedAt, supports search and detail navigation, and routes swipe deletion through confirmation and rollback-safe persistence.",Implemented,Partial,prosepal-ios/Sources/ProsePalUI/MomentExperienceView.swift,prosepal-ios/Tests/ProsePalAPITests/RelationshipVaultTests.swift; prosepal-ios/Tests/ProsePalUITests/SystemSurfaceProjectTests.swift; prosepal-ios/evidence/feature-status/us-027-memory-vault-populated.jpg; prosepal-ios/evidence/feature-status/us-025-us-027-memory-edited-paused.jpg,The list swipe interaction remains unproved by direct UI automation.,,docs/BACKLOG.md,Do not treat shared SwiftData behaviour as direct UI proof; the swipe gesture itself remains unautomated.,c181378,2026-07-15
US-028,Relationship Memory,Approved memory lookup,"As a user, I want only approved memory for the current person to influence a draft.",SwiftDataRelationshipMemoryProvider uses stable persisted normalized person keys to fetch only approved Truth Beads and Voice Cards for the current person.,Implemented,Verified,prosepal-ios/Sources/ProsePalAPI/RelationshipVault.swift; prosepal-ios/Sources/ProsePalAPI/FoundationModelsPrivateDraftClient.swift,prosepal-ios/Tests/ProsePalAPITests/RelationshipVaultTests.swift; prosepal-ios/Tests/ProsePalAPITests/PrivateDraftPromptPlanTests.swift,,,docs/engineering/relationship-vault.md,The normalized key is internal lookup metadata and is omitted from export.; Persisted normalizedPersonName uses en_US_POSIX normalization approved predicates and empty-key repair.,c181378,2026-07-15
US-029,Saved,Saved drafts list/search/delete,"As a user, I want to find saved drafts and remove ones I no longer need.","SavedMomentDraftsView queries every deliberately saved draft and provides real person, occasion, relationship, and message-text search; unsupported status filters are absent; SavedMomentDraftDetailView requires confirmation and persists deletion before dismissing.",Implemented,Verified,prosepal-ios/Sources/ProsePalUI/Features/SavedDrafts/SavedDraftLibraryView.swift; prosepal-ios/Sources/ProsePalUI/Features/SavedDrafts/SavedMomentDraftDetailView.swift; prosepal-ios/Sources/ProsePalUI/Features/SavedDrafts/SavedDraftPersistence.swift; prosepal-ios/Sources/ProsePalAPI/RelationshipVault.swift,prosepal-ios/Tests/ProsePalUITests/SavedDraftLibraryPresentationTests.swift; prosepal-ios/Tests/ProsePalUITests/SavedDraftPersistenceTests.swift; prosepal-ios/Tests/ProsePalAPITests/RelationshipVaultTests.swift; prosepal-ios/evidence/feature-status/us-029-delete-empty-state.jpg,,,docs/product/user-journeys.md,Failed deletion rolls back and leaves the detail open with an honest error; status filters require a future explicit schema and product decision rather than invented UI.; Removed unsupported status filters and replaced the Kept badge with the truthful Saved label; retained real search without changing the versioned SwiftData schema.,c181378,2026-07-15
US-030,Saved,Saved draft detail copy/share/delete,"As a user, I want to reopen a saved draft and copy, share, or delete it.","SavedMomentDraftDetailView shows draft content, exposes one Copy and one destination-neutral ShareLink, and confirms deletion before persisting it.",Implemented,Verified,prosepal-ios/Sources/ProsePalUI/Features/SavedDrafts/SavedMomentDraftDetailView.swift; prosepal-ios/Sources/ProsePalUI/Features/SavedDrafts/SavedDraftPersistence.swift; prosepal-ios/Sources/ProsePalUI/Support/MomentSharing.swift,prosepal-ios/Tests/ProsePalUITests/MomentSharingTests.swift; prosepal-ios/Tests/ProsePalUITests/SavedDraftPersistenceTests.swift; prosepal-ios/evidence/feature-status/us-029-delete-empty-state.jpg,,,docs/BACKLOG.md,Failed deletion keeps the record and detail visible; Share cancellation records no destination or send.; Uses direct SwiftUI ShareLink for text plus confirmed rollback-safe deletion that dismisses only after persistence succeeds.,c181378,2026-07-15
US-031,Saved,Saved draft edit,"As a user, I want to correct a saved draft without deleting and recreating it.","SavedMomentDraftDetailView supports Edit, Cancel, and Save; success appears only after persistence and failure rolls back to the last saved text.",Implemented,Verified,prosepal-ios/Sources/ProsePalUI/Features/SavedDrafts/SavedMomentDraftDetailView.swift; prosepal-ios/Sources/ProsePalUI/Features/SavedDrafts/SavedDraftPersistence.swift; prosepal-ios/Sources/ProsePalAPI/RelationshipVault.swift,prosepal-ios/Tests/ProsePalUITests/SavedDraftPersistenceTests.swift; prosepal-ios/Tests/ProsePalAPITests/RelationshipVaultTests.swift; prosepal-ios/evidence/feature-status/us-031-saved-draft-edit.jpg,,,docs/product/user-journeys.md,UI proof used a deterministic saved draft created with --prosepal-use-mock-writing-service.; Added rollback-safe edit persistence and an honest failure notice while retaining the prior saved value.,c181378,2026-07-15
US-032,Settings,Settings sections,"As a user, I want account, Premium, writing, privacy, data, support, legal, and about settings in one place.","MomentSettingsView renders the current sections and links to plan, account, local-data, support, legal, and about surfaces; export supports Copy JSON and named-file system sharing.",Partial,Partial,prosepal-ios/Sources/ProsePalUI/Features/Settings/MomentSettingsView.swift; prosepal-ios/Sources/ProsePalUI/Features/Settings/MomentLocalDataExport.swift; prosepal-ios/Sources/ProsePalUI/MomentAccountModel.swift,prosepal-ios/Tests/ProsePalUITests/MomentSettingsPresentationTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentSharingTests.swift; prosepal-ios/Tests/ProsePalUITests/MomentAccountModelTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift,"Live account, subscription, and system-share evidence remain open.",The About section still exposes the migration-era Direction value.,docs/BACKLOG.md,Partial reflects known user-facing terminology plus live account/payment/system-share evidence rather than a missing Settings shell.,c181378,2026-07-15
US-033,Account,Sign in with Apple,"As a user, I want to sign in with Apple for continuity and support without being forced before purchase.","MomentAppleSignInControl requests no unused contact scopes and supplies a cryptographic nonce; MomentAccountModel exchanges the ID token through Supabase Auth, forwards the one-time authorization code to the authenticated Edge Function, persists the opaque Apple credential ID with the Keychain session, checks credential state, and observes revocation.",Partial,Partial,prosepal-ios/Sources/ProsePalUI/MomentAppleSignInControl.swift; prosepal-ios/Sources/ProsePalUI/MomentAccountModel.swift; prosepal-ios/Sources/ProsePalAPI/SupabaseAuthClient.swift; prosepal-ios/Sources/ProsePalAPI/AppleAccountLifecycleClient.swift; prosepal-ios/Sources/ProsePalAPI/AppleCredentialState.swift; supabase/functions/exchange-apple-token/index.ts; supabase/migrations/20260714142920_harden_apple_revocation_credentials.sql,prosepal-ios/Tests/ProsePalUITests/MomentAccountModelTests.swift; prosepal-ios/Tests/ProsePalAPITests/AuthSessionTests.swift; prosepal-ios/Tests/ProsePalAPITests/AppleAccountLifecycleClientTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift; supabase/functions/exchange-apple-token/index.test.ts; supabase/functions/_shared/apple-account.test.ts,"Retained physical-device authorization evidence, deployed authorization-code storage, system revocation notification, and TestFlight proof remain open.",,docs/BACKLOG.md,Staging accepts both approved iOS App IDs; production configuration is unchanged. Physical authorization-code and revocation proof remain unclaimed.; Client/server lifecycle implementation is complete; external environment proof remains in the backlog,c181378,2026-07-15
US-034,Account,Sign out,"As a signed-in user, I want sign-out to clear account and Premium state safely.","MomentAccountModel.signOut signs out with the current token when available, clears the persisted session, sets signed-out state, and locks Premium inactive.",Implemented,Partial,prosepal-ios/Sources/ProsePalUI/MomentAccountModel.swift,prosepal-ios/Tests/ProsePalUITests/MomentAccountModelTests.swift; prosepal-ios/Tests/ProsePalAPITests/AuthSessionTests.swift,"Running-app sign-out progress, failure, retry, and duplicate-prevention behaviour remain unproved.","Sign-out lacks a visible progress, duplicate-prevention, failure, and retry lifecycle while remote and local clearing converge.",docs/BACKLOG.md,Functional sign-out is implemented; its cross-cutting waiting experience is part of the Partial US-058 finding.,c181378,2026-07-15
US-035,Account,Account deletion,"As a signed-in user, I want to delete my account and local app data from Settings.",MomentAccountModel confirms deletion and calls the authenticated delete-user boundary; Apple accounts require refresh-token revocation before validated cleanup and final auth deletion. Pre-final failure preserves signed-in retry; unconfirmed final deletion becomes indeterminate and clears local account state without claiming the remote account remains.,Partial,Partial,prosepal-ios/Sources/ProsePalUI/MomentAccountModel.swift; prosepal-ios/Sources/ProsePalAPI/AccountMaintenanceClient.swift; supabase/functions/delete-user/index.ts; supabase/functions/_shared/apple-account.ts; supabase/migrations/20260714142920_harden_apple_revocation_credentials.sql,prosepal-ios/Tests/ProsePalUITests/MomentAccountModelTests.swift; prosepal-ios/Tests/ProsePalAPITests/AccountMaintenanceClientTests.swift; prosepal-ios/AppUITests/ProsePalNativeUITests.swift; supabase/functions/delete-user/index.test.ts; supabase/functions/_shared/apple-account.test.ts,Deployed Apple revocation and sandbox or TestFlight account-deletion evidence remain open.,,docs/BACKLOG.md,External Apple revocation and TestFlight evidence remain required; local automation does not claim remote deletion proof.; The final delete uses abort-bound transport where supported; confirmed and already-deleted results converge while an unconfirmed final commit returns indeterminate.,c181378,2026-07-15
